delivery_id,driver_name,phone_number,email,Rating,vehicle/color,vehicle/make,vehicle/license
1,Sayer Crowther,663-871-2606,scrowther0@opensource.org,1.2,Green,Dodge,LDT 904B
2,Gerik McWhinnie,298-243-9139,gmcwhinnie1@prnewswire.com,1,Goldenrod,Toyota,DSR 645O
3,Estel Dominighi,989-936-7704,edominighi2@vkontakte.ru,3.5,Green,Chevrolet,OLC 456A
4,Duncan Dalgety,516-346-0132,ddalgety3@washingtonpost.com,3.8,Goldenrod,Volkswagen,PEV 326V
5,Liza Barmby,247-389-7122,lbarmby4@latimes.com,2.2,Teal,Ford,ASA 421F
6,Jed Vairow,121-725-3526,jvairow5@netvibes.com,3.3,Yellow,Infiniti,VBL 670Q
7,Wendie Stickles,472-819-9097,wstickles6@yahoo.co.jp,4.3,Aquamarine,Dodge,SWE 334D
8,Leigh Skehens,199-214-6361,lskehens7@jugem.jp,4.9,Teal,Volkswagen,RWL 809K
9,Zabrina Bowerbank,410-441-1536,zbowerbank8@chronoengine.com,4.3,Goldenrod,Lotus,COX 154B
10,Florencia Magauran,652-184-6426,fmagauran9@behance.net,1.6,Pink,Ford,TVG 358S
11,Tallulah Fosserd,708-769-0013,tfosserda@usatoday.com,4.6,Puce,Audi,EXK 051B
12,Rafaelita Sinney,843-142-4783,rsinneyb@auda.org.au,5,Purple,Suzuki,FZW 794F
13,Sayers Shotton,266-984-7200,sshottonc@latimes.com,1.8,Red,Dodge,OEE 277T
14,Homer Valentino,879-498-3164,hvalentinod@meetup.com,2.8,Goldenrod,Toyota,IUA 063L
15,Byran Durn,364-586-5852,bdurne@pcworld.com,4.5,Goldenrod,Toyota,SVO 708G
16,Pietrek Deville,687-827-6694,pdevillef@imgur.com,2.7,Mauv,Volkswagen,PCC 938M
17,Delia Pringley,770-132-6250,dpringleyg@soundcloud.com,3,Violet,Chrysler,XYH 997R
18,Milt Scown,850-170-1722,mscownh@google.com.hk,3.5,Red,Kia,TTX 530V
19,Winny Skipper,896-460-4819,wskipperi@geocities.com,4.2,Blue,Toyota,WZY 463N
20,Noelani Sebire,462-440-0468,nsebirej@e-recht24.de,4.6,Aquamarine,Mitsubishi,POK 653Z
21,Sari Ellissen,617-975-9590,sellissenk@msn.com,2.8,Maroon,Chevrolet,HXQ 965L
22,Moselle Tow,183-484-2596,mtowl@ucsd.edu,3.1,Purple,Mercury,RUO 422J
23,Riannon Rosone,472-840-9013,rrosonem@google.es,4,Puce,Buick,CRQ 922W
24,Janeta Cantrell,747-797-1453,jcantrelln@blogtalkradio.com,4.8,Yellow,Nissan,OSB 251R
25,Gladi Agron,583-563-6551,gagrono@ow.ly,1.5,Crimson,BMW,ICH 651E
26,Zollie Maypes,197-690-9869,zmaypesp@usgs.gov,2.5,Teal,Land Rover,VRB 111P
27,Merrile Kernell,827-303-1920,mkernellq@purevolume.com,4.7,Indigo,Ford,GOL 368F
28,Lonni Sidary,703-358-4643,lsidaryr@auda.org.au,3.7,Maroon,Buick,DQK 086Z
29,Rhona Falk,684-131-7559,rfalks@tuttocitta.it,1.5,Teal,Chrysler,JYB 310L
30,Nikolos Saunt,553-786-4972,nsauntt@goodreads.com,3.7,Yellow,Porsche,ZPH 420M
31,Stanley Aitken,712-976-5811,saitkenu@irs.gov,3.8,Aquamarine,Audi,QPU 062Z
32,Evelina Spindler,209-562-5224,espindlerv@squidoo.com,4,Orange,Aston Martin,QKF 675M
33,Chris Thorrold,130-491-3570,cthorroldw@gizmodo.com,4.4,Violet,Mercury,BXV 780W
34,Virginia Ahrend,364-540-9438,vahrendx@wikipedia.org,2.7,Purple,Daewoo,SAC 668X
35,Griffie Mansford,352-372-1943,gmansfordy@networksolutions.com,1.8,Pink,Dodge,NON 575M
36,Hedwig Tenniswood,775-921-9685,htenniswoodz@state.gov,4.2,Orange,Ford,DNK 615B
37,Millard Bodd,806-118-2662,mbodd10@tuttocitta.it,1.2,Orange,Lamborghini,NFV 797P
38,Allie Jedrych,888-755-7012,ajedrych11@aboutads.info,2.4,Green,Nissan,IGA 515R
39,Gaelan Kissock,180-311-8427,gkissock12@independent.co.uk,2.1,Violet,Ram,XVX 559N
40,Devland Lagne,992-861-5931,dlagne13@wikia.com,4.7,Purple,BMW,CIT 500E
41,Eldin Dobble,300-435-7842,edobble14@gmpg.org,1.6,Violet,Chevrolet,URN 639S
42,Lorin Jacombs,953-565-3443,ljacombs15@washington.edu,3.1,Crimson,Ford,JKV 523I
43,Candi Baptiste,839-553-9108,cbaptiste16@salon.com,2.9,Green,Eagle,VUO 418F
44,Stacey Stoneley,359-319-0520,sstoneley17@amazon.co.uk,4.5,Green,Volvo,BCF 478Y
45,Collette Bockmaster,164-625-6401,cbockmaster18@chicagotribune.com,1.8,Turquoise,Suzuki,LVB 450R
46,Walker Fant,524-640-7151,wfant19@reuters.com,2.3,Violet,Ferrari,JNA 409F
47,Son Habens,399-928-8225,shabens1a@geocities.jp,1,Violet,Oldsmobile,ZYL 902G
48,Vivien Dobbyn,127-835-6620,vdobbyn1b@slashdot.org,3.6,Turquoise,Nissan,RPG 569G
49,Hortensia Regler,329-812-0233,hregler1c@slashdot.org,3.2,Turquoise,Scion,TDY 418Z
50,Tuesday Peakman,158-316-1999,tpeakman1d@buzzfeed.com,3.7,Yellow,Eagle,ENT 482Y
